"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","АБО ФАРМА СИЛВЪРТУС ФЛУ еф.сашета х 10","42688","99","8.5400","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","АКНЕ АУТ САПУН","33509","83","5.8000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","АЛЕЗОДАК табл. х 10","44545","100","5.2500","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","АЛЕРГОЗАН амп. 20мг 2мл х 10/кутия/","D00040DZ","100","10.7400","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","АЛМАГЕЛ  сусп. 170мл","A00009DZ","86","2.4500","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","АЛМИРАЛ гел 1% - 100гр.","41990","95","7.6000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","АНАЛГИН ХИН филм. тб. 250мг х 10","35129","96","1.7900","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","АНГАЛ ЛИМОН 2мг/мл+0.5мг/мл спрей 30мл","46821","98","9.8000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","АНГАЛ ЛИМОН ТБ ЗА СМУЧЕНЕ x 24","42749","98","7.0000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","АСАМ Мас.гел/див конски кестен+арника100","31086","95","2.2000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","АСАМ Мас.гел/див конски кестен+арника250","33328","95","3.6000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","АСАМ ШАМПОАН ЗА ОБЕМ С РОЗМАРИН 500мл","49721","82","4.7000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","АСПИРИН КОМПЛЕКС сашета 500мг x 10","34672","96","6.7000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","БИЗАКОДИЛ супоз. 5мг х 6","A00038DZ","88","2.3500","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","БИЗАЛАКС ф.табл. 5мг х 30","A00040DZ","88","2.4000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","БУСКОЛИЗИН обв. тб. 10мг х 30","49816","87","3.6500","3.60"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ВЕНОГЕЛ ГЕЛ 100МЛ","36209","95","6.8500","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ВИШИ DERCOS ШАМПОАН п/в пърхот сух скалп 200мл.","47710","82","17.7000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ВИШИ DERCOS ШАМПОАН СИЛНО успокоява","42556","82","16.3600","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ГАВИСКОН ЯГОДА ДЪВЧАЩИ ТАБЛ. х 16","40853","86","4.2000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ГАСТРОТУС сироп x 500 мл","37932","86","14.3200","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ГЕЛОМИРТОЛ за деца капс.120мг х 20","R00206DZ","99","5.2000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ДИКЛАК гел 5% 100г.","13955","95","10.4000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ЕКЗОДЕРИЛ 1% крем х 30гр","40910","90","9.9000","8.44"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ЕКЗОДЕРИЛ МАКСИ ЛАК 5% 2.5мл","44629","90","19.8000","17.93"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ЕКЗОДЕРИЛ НЕЙЛНЪР ЛАК 2в1 5мл","41409","90","15.9000","13.60"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ЕЛАКСА ПИКО тб. 5мг х 20","44626","88","4.5000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ЖИВАСЕПТ ГЕЛ 500МЛ БЯЛ","41590","92","3.5800","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ЖИВАСЕПТ РАПИД S ТЕЧНОСТ за повърхности","46333","92","4.9600","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ЗЕНАРО филм.табл.5 мг.х 7 бр","34204","100","3.3000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ИБУПРОМ СИНУС ТАБЛ. х 24","44447","94","7.6000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ИМОДИУМ ИНСТАНТ 2 мг. х 6","38746","89","4.4000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ЙОДАСЕПТ 10% унгв 40гр","35585","92","3.1000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","КЕТАЛГО тб. филм. 25мг х 10 - Химакс","50306","94","4.6000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","КСИЗАЛ сол.5 мг/мл.- 20мл.","28157","100","5.4000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","КСИЗАЛ тбл.5мг.х20","24066","100","10.9400","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","КСИЛОГЕЛ гел 0.05% 10 гр.","29682","97","4.8000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","КУЕ капки за уши х 15мл","38861","101","9.8200","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","МИГ-400 филм тб. 400мг x 10","34291","94","2.6000","2.40"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","НУРОФЕН др. 400мг x 12","M00228DZ","94","4.6200","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","НУРОФЕН ЗА ДЕЦА-ПОРТОКАЛ 100mg/5ml","46158","94","4.6000","4.32"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ОЛИНТ спрей 0.05% - 10мл","R00275DZ","97","4.7000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ОТИПАКС капки 15мл","S00099DZ","101","4.1000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ОТОФИКС 40мг/10мг/мл капки за уши х 15мл","50901","101","3.3200","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ПАРАКОФДАЛ табл. 20мг х 20","9417","96","3.2000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ПЗ PARORODONT CHINAMED 75МЛ","47502","81","1.8700","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ПЗ АСТЕРА ACTIVE WHITENING - 100мл","32939","81","1.0200","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ПЗ БОЧКО ДЕТСКА ПАСТА ЗА ЗЪБИ ДЪВКА 75МЛ","49499","81","1.4800","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ПЗ ГЪМ ДЕТСКА 3+ години 50мл.","48650","81","2.4800","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ПЗ ЕЛГИДИУМ SENSILEAV 50 мл.","45401","81","7.6200","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ПЗ ЕЛМЕКС СЕНЗ.УАЙТЪНИНГ 75 мл.","46209","81","4.4000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ПЗ ЕЛМЕКС СЕНСИТИВ ПРОФЕШЪНЪЛ 75мл","46175","81","5.2000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ПЗ ЛАКАЛУТ ДЕТСКА 0-2 год. 55 мл.","46758","81","3.6100","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ПЗ ЛАКАЛУТ избелваща 75мл","29600","81","3.8300","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ПЗ СЕНСОДИН Whitening 75мл","27809","81","5.3000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ПРОАЛГИН табл. 500мг x 20","8739","96","1.2000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ПСИЛО-БАЛСАМ Н гел 20г.","1309","91","6.2000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","РЕПАРИЛ N гел 40г.","7761","95","6.2000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","РЕПАРИЛ АЙС спрей 200мл.","24457","95","8.1000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","САРИДОН табл. х 10","2780","96","2.9000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","СЕБОМАКС КОНТРОЛ ШАМПОАН с подобрен","37178","82","11.8000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","911 РЕВМАЛГОН ГЕЛ ЗА СТАВИ И МУСКУЛИ","43151","95","5.1000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","АЙ УАЙТ ИНСТАНТ избел. при пробл. венци 75мл","43701","81","8.1500","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","АКАРД су тб 75мг x 30","42486","96","2.0500","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","АЛГОПИКС ШАМПОАН","23656","82","5.0000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","АЛЕРГОЗАН крем 1% - 18г.","D00038DZ","91","4.4000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","АЛЕРГОЗАН табл. 25мг х 20","R00022DZ","100","3.6000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","АЛЕРГОЗАН унг.1% - 18г.","D00039DZ","91","3.9500","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","АЛМАГЕЛ A сусп. 170мл","40","86","3.9000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","АЛПЕЦИН С1 ШАМПОАН БЛЕК ЕДИШЪН 250мл","48095","82","8.6900","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","АНАЛГИН амп. 500мг/мл - 2мл х 10","N00033DZ","96","7.2000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","АНАЛГИН КАПКИ ЗА ДЕЦА 500мг/мл 20мл","42273","96","3.3300","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","АНГАЛ МЕД тб. за смучене 5мг/1мг х 24","46903","98","7.6000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","АНГАЛ МЕНТ СПРЕЙ ЗА УСТА 30МЛ","42750","98","10.0000","8.90"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","АНЗИБЕЛ МЕД и ЛИМОН тб за смучене х 20","39002","98","5.6200","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","АСПИРИН ПРОТЕКТ тб 100мг х 40","N00077DZ","96","3.1000","2.93"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","АЦЕТИЗАЛ КАРДИО табл. 100 мг x 100","35468","96","5.7000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","АЦЕТИЗАЛ КАРДИО тб. 75мг x 100/блистер/НОВ","43730","96","4.4000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","БИЗАКОДИЛ супоз. 10мг х 6","A00037DZ","88","3.0000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","БОЧКО ВЛ. КЪРПИ ПАМУК И ЛАЙКА КАПАК","46935","84","1.7000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","БОЧКО САПУН С НЕВЕН 75г","37895","83","1.0200","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","БРАУНОВИДОН унг. 20г.","D00097DZ","92","2.1000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","БРАУНОВИДОН унг.10% 100г.","35284","92","5.6000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","БРОНЛЕС КАПС. 375МГ Х 20","43739","99","3.9000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","БРУФЕН РЕТАРД тб 800мг х 30","36653","94","6.9000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","БУСКОЛИЗИН амп.20мг.1мл.х10 КУТИЯ","A00053DZ","87","7.2600","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ВЕНАСИЛК КРЕМ-ГЕЛ 100мл","47218","95","8.9800","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ВИШИ DERCOS AMINEXIL CLINICAL 5 КОС","44529","82","62.4000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ВИШИ DERCOS ШАМПОАН ENERGISANT при косопад 200мл.","47708","82","16.6000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ВИШИ DERCOS ШАМПОАН ENERGY+ при кос","51451","82","18.7100","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ВОЛТАРЕН гел 1% - 100г.","7887","95","9.8800","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ГАВИСКОН ЛИКВИД САШЕТА *12","40304","86","6.9500","5.67"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ГАСТРОФОРТ КАПС. Х  30","48865","86","8.1000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ДИКЛАК гел 5% 50г.","M00080DZ","95","7.5000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ДУЛКОЛАКС табл. 5мг х 30","A00127DZ","88","6.0000","5.53"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ЕКЗОТЕРБИН лечебен лак за нокти 78,22мг","49422","90","16.0000","14.88"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ЕНТЕРОЛ прахчета 250мг.*20","44894","89","13.6000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ЖИВАСЕПТ ГЛЮКОНАТ спрей 200мл.","38498","92","2.3000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ИМОДИУМ капс. 2мг х 6","A00231DZ","89","3.9000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ИМОМЕД табл.","33150","89","2.4500","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ИТРАОТО капки х 10мл","47329","101","10.5000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ИТРАОТО ФОРТЕ КАПКИ ЗА УШИ 10мл.","48519","101","12.8000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","КАФЕТИН МЕНСТРУАЛ табл.200мг*10","35418","94","3.2000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","КАФЕТИН ФОРТЕ табл.*12","36217","96","5.1000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","КЛОРАН шампоан с хинин 400 мл","36059","82","20.0700","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","КЛОРАН ш-н манго 400мл.","36999","82","19.5800","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","КСИЗАЛ 5мг.х7табл.","26774","100","4.4000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","МИГ ДЖУНИЪР 40мг/мл 100мл","43674","94","4.5000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","НИЗОРАЛ КЕЪР СУХ ШАМПОАН ЗА СУХ СКАЛП И ПЪРХОТ 200мл","50894","90","15.5000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","НИЗОРАЛ крем 20мг/гр -15г.","D00254DZ","90","2.5000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","НОСКО АСПИРТ. ЗА НОС СТЪКЛЕН /ПРАХОСМУКАЧКА/","45824","91","12.7800","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","НУРОФЕН др. 200мг x 12","M00225DZ","94","3.5800","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","НУРОФЕН експрес меки капсули х 10","35354","94","4.6000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","НУРОФЕН ЗА ДЕЦА-ЯГОДА 100mg/5ml сус","46159","94","4.9000","4.32"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","НУРОФЕН ЮНОШИ ЯГОДА суспензия 200мг/5мл 100мл","46675","94","6.7000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","НУРУЛИН ДУО ТБ 500МГ/200МГ Х 20","41540","94","4.4000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ОЛИНТ HA аерозол 0.1% х 10мл","35287","97","6.5000","6.27"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ОЛИНТ ДУО спрей за нос 1мг/мл+50мг/мл 10мл","49809","97","6.7000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ОЛИНТ спрей 0.1% - 10мл","R00276DZ","97","4.9000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ОТИРЕЛАКС капки за уши 15 мл","43926","101","4.1000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ПЗ БИЛКА-ПАСТА ЗЪБИ EXPERT с ХИМАЛАЙСК","41583","81","2.5000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ПЗ БОЧКО ДЕТСКА МАЛИНА 75мл.","50432","81","1.4800","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","АБО ФАРМА КСАНАЦИД тб х 10","39932","86","5.0000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","АЙ УАЙТ ИНСТАНТ ИЗБЕЛ ПАСТА ЧУВСТ. ЗЪБИ 75 мл.","47688","81","7.7500","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","АКАРД су тб 150мг x 30","42565","96","3.3200","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","АЛГЕЗАЛ крем 40г.","M00004DZ","95","4.5500","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","АЛМИРАЛ табл. 50мг х 20","M00006DZ","95","2.2000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","АНАЛГИН тб. 500мг х 30 - Софарма","49365","96","2.5000","2.30"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","АНГАЛ МЕНТОЛ ТБ ЗА СМУЧЕНЕ x 24","42751","98","6.9000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","АНГАЛ ЯГОДА деца тб. смуч 5мг/1мг х 24","46835","98","7.6000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","АНЗИБЕЛ МЕНТОЛ тб за смучене х 20","39003","98","5.4000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","АСАМ ШАМПОАН С КОФЕИН ДВОЕН ЕФЕКТ 250мл","42229","82","7.1600","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","АСПИРИН+Ц табл.еф. 400мг х 10","N00067DZ","96","4.3500","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","АЦЕТИЗАЛ КАРДИО табл. 75 мг x 100","35470","96","4.4000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","АЦЕТИЗАЛ табл. 500мг х 20","N00008DZ","96","1.4000","1.34"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","АЦЦ МЕД И ЛИМОН - 600 саше х 10","46344","99","9.0000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","БЕНАЛГИН табл. х 20","N00097DZ","96","2.9000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","БЕН-ГЕЙ унгв. 50гр","35743","95","5.4000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","БРАУНОЛ СОЛ. 7,5Г/100Г 100МЛ  х 20","45937","92","74.6500","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ВИШИ DERCOS ШАМПОАН+БАЛСАМ 2в1 против пърхот 390мл","50133","82","17.7000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ВИШИ DERCOS ш-н силно успокояващ норм/мазна 200мл.","48117","82","16.3600","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ВОЛТАРЕН гел 1% - 50г.","2503","95","6.2400","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ВОЛТАРЕН ФОРТЕ гел 2.32% х 50гр","36658","95","8.7900","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ГАВИСКОН МЕНТОВИ ТАБЛЕТКИ за дъвч.*","36373","86","4.3000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ГЕЛОМИРТОЛ ФОРТЕ капс. 300мг х 20","R00207DZ","99","8.2000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ДЕКСОФЕН сашета 25мг x 20","40041","94","9.5000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ДЕРМОДРИН маз 30гр","31280","91","4.4000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ДИАЛГИН сашети 1000мг.х20","N00777DZ","96","7.8000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ДИАЛГИН САШЕТИ 500МГ Х 20","35358","96","7.2900","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ДИКЛАК 12 ЧАСА 2.32% мг/г 100гр","49647","95","11.8000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ДИКЛАК 12 ЧАСА 23,2 мг/г гел 50гр","49648","95","7.7000","7.35"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ДУЛКОЛАКС ПИКО капки 7,5мг 1","29599","88","6.0000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ДУЛКОЛАКС супоз. 10мг х 6","50036","88","6.0000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ЕКЗОДЕРИЛ р-р х 20мл","40708","90","12.4000","11.30"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ЗИРТЕК ф.табл. 10мг х 20","3465","100","8.9000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ЗИРТЕК-D ТАБЛ. Х 6","42806","100","3.5000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ИБУЛЕК 400мг САШЕТА Х 10","41236","94","5.5200","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ИБУЛЕК 600мг саше  х 10","40716","94","6.7000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ИБУПРОМ МАКС тбл.400мг.х12","30872","94","3.3000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ИБУПРОМ СПРИНТ МАКС 400 х 10","44132","94","5.2000","4.61"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","КЕТОЗАЛ шампоан 60мл ХИМАКС","D00216DZ","90","6.9000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","КЕТОНАЛ ИНТЕНЗИВ саше 50гр х 12","44630","94","7.9000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","КЛОРАН ПРОМО ЛАЙКА ШАМПОАН ЗА РУСА КОСА 400мл.","49899","82","19.5800","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","КЛОРАН ПРОМО Ш-Н С МАСЛО ОТ КУПУАСУ 400мл.","49898","82","12.3700","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","КЛОРАН шампоан с коприва 400 мл","36153","82","19.5800","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","КЛОРАН Ш-Н С МАСЛО ОТ КУПУАСУ 400мл.","44971","82","14.0100","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","КСИЛОГЕЛ гел 0.1% 10мл.","26369","97","5.3000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","КСИЛОМЕТАЗОЛИН сол. 0.05% - 10мл","3255","97","2.5000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","КСИЛОМЕТАЗОЛИН сол. 0.1% - 10мл","3256","97","2.4000","2.24"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","КСИЛОРИН наз.спрей 0.055% - 18мл","9313","97","4.7000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ЛАКТОФЛОР Ентерик Екол 250мг. капс.","35558","89","6.8000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ЛОПЕДИУМ капс. 2мг х 10","A00263DZ","89","3.5000","2.99"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","МИГ за деца сусп.20мг./мл. 100мл","36832","94","2.9400","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","НАЗИК КИДС спрей за нос р-р х 10 мл","35773","97","5.5000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","НАЗИК спрей за нос р-р х 10мл","33726","97","6.2900","6.09"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","НИЗОРАЛ 2% ЛЕЧЕБЕН ШАМПОАН 100мл","46594","90","14.6000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","НУРОФЕН тб. 200мг х 24","48139","94","6.0000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ОРОФАР ИНТЕНС спрей 15мл","49919","98","8.2000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ОРОФАР МЕНТА 5/1,5мг тб. х 24","49513","98","6.4000","0.00"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ОТРИВИН ментол 0.1% спрей за нос 10мл","37668","97","5.7000","5.30"
"10135","а-ка МАНОЛОВА3 р.3176-1/27.01.2016","ПЗ BEVERLY HILLS NATURAL Sensitive Whitening","50233","81","6.3900","0.00"
