Населено място;Търговски обект;Наименование на продукта;Код на продукта;Категория;Цена на дребно;Цена в промоция
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;ЗАХИРА/ДИАМАНТ-ЗАХАР-1КГ-КРИСТАЛ/00520;50801;38;1.53;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;СЛАДЕЯ-ЗАХАР-1КГ-ГОРНА ОРЯХОВИЦА/26682;60245;38;1.32;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;MAESTRO-БЯЛО БРАШНО ТИП 500-1КГ;507050;40;1.43;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;CAMPESE-МАСЛЕН БОБ-400ГР;46583;46;1.27;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;CAMPESE-МИКС БОБ-400ГР;46585;46;1.27;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;CAMPESE-ПЕЧЕН БОБ-400ГР-С ДОМАТЕН СОС;46586;46;1.27;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;CAMPESE-ЧЕРВЕН БОБ-400ГР;46584;46;1.27;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;CAMPESE-ЧЕРЕН БОБ-400ГР;46522;46;1.27;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;VALLE DEL SOLE-ГРАХ-400ГР;3092;47;0.76;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;ББП-ЛЮТЕНИЦА-310ГР-ПЪРВОМАЙСКИ ОРКЕСТЪР/12;477790;49;1.61;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;7 DAYS-КРОАСАН-110ГР-SUPER MAXX-ШОКОЛАД/16551/17996/18;106572;67;1.32;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;7 DAYS-КРОАСАН-92ГР-DOUBLE/ВАНИЛИЯ-ВИШНА/16544;120317;67;0.92;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;7 DAYS-КРОАСАН-92ГР-DOUBLE/КАКАО-ВАНИЛИЯ/16546/9627;120315;67;0.92;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;7 DAYS-КРОАСАН-92ГР-DOUBLE/ЯГОДА-ВАНИЛИЯ/16545/20/9635;500459;67;0.92;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;7 DAYS-КРОАСАН-92ГР-MAXX/КАКАО/16541/20;500458;67;0.92;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;7 DAYS-КРОАСАН-92ГР-MAXX/КРЕМ БРЮЛЕ/16542/20;500461;67;0.92;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;КРОАСАН С КАКАОВО-ЛЕШНИКОВ И ВАНИЛОВ ПЪЛНЕЖ DOLCE FIORE -70ГР;948481;67;0.64;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;КРОАСАН С КАКАОВО-ЛЕШНИКОВ ПЪЛНЕЖ DOLCE FIORE -70ГР;948467;67;0.64;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;КРОАСАН С ПЪЛНЕЖ ВИШНА И ВАНИЛИЯ DOLCE FIORE -70ГР;948528;67;0.64;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;КРОАСАН С ПЪЛНЕЖ КРЕМ БРЮЛЕ DOLCE FIORE -70ГР;948504;67;0.64;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BREAK-ШОКОЛАД-85ГР-МЛЕЧЕН;52047;69;2.6;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BREAK-ШОКОЛАД-85ГР-МЛЕЧЕН-ЯДКИ И СТАФИДИ;16416;69;2.6;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;ION-ШОКОЛАД-100ГР-МЛЕЧЕН-ЦЕЛИ БАДЕМИ;500376;69;1.76;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;ION-ШОКОЛАД-100ГР-МЛЕЧЕН-ЦЕЛИ ЛЕШНИЦИ;52055;69;3.04;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;ION-ШОКОЛАД-90ГР-ДАРК 70%KAKAO;52050;69;2.58;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 4;ION-ШОКОЛАД-90ГР-ДАРК КЛАСИК;52051;69;2.58;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;KITKAT DOUBLE CHOCOLATE ДВОЕН ШОКОЛАД  99 Г;491447;69;2.4;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;KITKAT ШОКОЛАД ЛЕШНИК 99 Г;491430;69;2.4;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;LINDT-ШОКОЛАД-100ГР-МЛЕЧЕН;500174;69;3.22;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;LINDT-ШОКОЛАД-100ГР-СОЛЕН КАРАМЕЛ;92180;69;3.22;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;LINDT-ШОКОЛАД-SWISS CLASSIC -100ГР;98601;69;3.22;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;ДЕТСТВО МОЕ-БИСКВИТИ-130ГР-ОБИКНОВЕНИ/0802;9732;69;1.07;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;ДЕТСТВО МОЕ-БИСКВИТИ-200ГР-ОБИКНОВЕНИ/KARMELA/0819;69158;69;1.48;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;ДЕТСТВО МОЕ-ОБИКНОВЕНИ БИСКВИТИ-130ГР-С МАСЛО/0895/15;15094;69;1.07;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;ДЕТСТВО МОЕ-ОБИКНОВЕНИ БИСКВИТИ-330ГР-ЗАКУСКА КЛАСИК/15;15095;69;1.63;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;КРИСТАЛ-ОБИКНОВЕНИ БИСКВИТИ-130ГР/ 0169;8708;69;0.81;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;КРИСТАЛ-ОБИКНОВЕНИ БИСКВИТИ-130ГР-С МАСЛО;8707;69;1.1;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;МЛЕЧЕН-ШОКОЛАД-80ГР-ЛЕШНИК/17348;108729;69;1.43;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;МЛЕЧЕН-ШОКОЛАД-80ГР-ЛЕШНИК+СТАФИДА/17349/25;108730;69;1.43;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;МЛЕЧЕН-ШОКОЛАД-80ГР-СИН/17347;500375;69;1.43;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;СВОГЕ-ШОКОЛАД-80ГР-КАКАО 65%/11189/25;106428;69;1.51;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;СВОГЕ-ШОКОЛАД-80ГР-ЛЕШНИК /16776/24;167762;69;1.51;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;JACOBS КАФЕ МОНАРХ 250ГР ВАКУУМ /6593/0094;501040;70;7.31;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;JACOBS КАФЕ МОНАРХ INTENSE 250ГР ВАКУУМ/12;501041;70;4.39;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;НОВА БРАЗИЛИЯ КАФЕ ESPRESSO GOLD 200ГР/0185;108926;70;4.39;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;НОВА БРАЗИЛИЯ КАФЕ ДЖЕЗВЕ 200ГР/0173;501044;70;4.8;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;НОВА БРАЗИЛИЯ КАФЕ ИНТЕНЗИВНО 200ГР/18026;46163;70;3.51;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;НОВА БРАЗИЛИЯ КАФЕ КЛАСИК 200ГР/0171;501045;70;4.39;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;JACOBS КАФЕ ESPRESSO 1КГ/14313;9411;71;23.16;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;JACOBS КАФЕ МОНАРХ 1К-ЗЪРНА/14312/8;12239;71;25.56;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;НОВА БРАЗИЛИЯ КАФЕ КЛАСИК 1КГ ЗЪРНА/ 14314;12234;71;19.89;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;***BIOHERBA-ЧАЙ ЛУКС-120ГР-ЗА КЪРМАЧКИ/2461;3929;72;2.35;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;***BIOHERBA-ЧАЙ ЛУКС-120ГР-ХЕМОРО-ВЪНШНО/2478;3931;72;2.45;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;*LOYD-ЧАЙ-20БР*1,7ГР-ПИРАМИДА-ЧЕРЕН ЛИМОН/10*;500852;72;2.35;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOHERBA-ЧАЙ ЛУКС-100ГР-17 БИЛКИ ЗА ОТСЛАБВАНЕ/7084;3913;72;3.71;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOHERBA-ЧАЙ ЛУКС-100ГР-ТИБЕТСКИ/7091;3918;72;4.19;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOHERBA-ЧАЙ ЛУКС-120ГР-STOPGRIP/2539;3944;72;2.45;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOHERBA-ЧАЙ ЛУКС-120ГР-АНТИЗАХАР/2430;3926;72;2.45;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOHERBA-ЧАЙ ЛУКС-120ГР-АРТИСТИЧЕН-РАЗСЛАБИТЕЛЕН/2492;3938;72;2.96;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOHERBA-ЧАЙ ЛУКС-120ГР-АФРОДИЗИАК/2522;3939;72;2.96;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOHERBA-ЧАЙ ЛУКС-120ГР-БАБИНИ ЗЪБИ/2546;3919;72;2.35;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOHERBA-ЧАЙ ЛУКС-120ГР-ВЕНОЛЕК/2508;3941;72;2.81;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOHERBA-ЧАЙ ЛУКС-120ГР-ГРЪДЕН/2386;3920;72;2.45;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOHERBA-ЧАЙ ЛУКС-120ГР-ЗА БЪБРЕЦИ НА ЛАМБРЕВ/2454;3928;72;2.45;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOHERBA-ЧАЙ ЛУКС-120ГР-МЪЖКИ ЧАЙ ПРИ ПРОСТАТА/2423;3925;72;2.81;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOHERBA-ЧАЙ ЛУКС-120ГР-РЕМОАРТ/2447;3927;72;2.45;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOHERBA-ЧАЙ ЛУКС-120ГР-СЛАБИН/2393;3922;72;2.45;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOHERBA-ЧАЙ ЛУКС-120ГР-СТОМАШЕН/2416;3923;72;2.81;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOHERBA-ЧАЙ ЛУКС-120ГР-СЪРДЕЧЕН-АНТИХОЛЕСТЕРОЛ/2485;3934;72;2.45;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOHERBA-ЧАЙ ЛУКС-120ГР-УСПОКОИТЕЛЕН/2409;3921;72;2.45;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOHERBA-ЧАЙ ЛУКС-120ГР-ЧАЙ ПРИ МЕТЕОРИЗЪМ/2515;3924;72;2.35;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOHERBA-ЧАЙ ЛУКС-25ГР-МУРСАЛСКИ/7572;3946;72;1.17;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOHERBA-ЧАЙ ЛУКС-50ГР-ЗЕЛЕН/7022;3916;72;2.04;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOHERBA-ЧАЙ ЛУКС-50ГР-ЛАПАЧО/17183;3917;72;2.04;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOHERBA-ЧАЙ ФИЛТЪР-100БР-17 БИЛКИ ЗА ОТСЛАБВАНЕ/6001;3947;72;6.44;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOHERBA-ЧАЙ ФИЛТЪР-100БР-DEMIR BOZAN/7817;3948;72;8.18;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOHERBA-ЧАЙ ФИЛТЪР-20БР-АНТИДИАБЕТ/2096;3951;72;1.12;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOHERBA-ЧАЙ ФИЛТЪР-20БР-АНТИХОЛЕСТЕРОЛ/2157;3952;72;1.12;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOHERBA-ЧАЙ ФИЛТЪР-20БР-БЪБРЕЧЕН/2126;3954;72;1.12;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOHERBA-ЧАЙ ФИЛТЪР-20БР-ГРЪДЕН-БРОНХО/2034;3957;72;1.12;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOHERBA-ЧАЙ ФИЛТЪР-20БР-ЗА КЪРМАЧКИ/2133;3963;72;1.12;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOHERBA-ЧАЙ ФИЛТЪР-20БР-ЗА ОТСЛАБВАНЕ/2041;3966;72;1.12;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOHERBA-ЧАЙ ФИЛТЪР-20БР-ПРОСТАТИТ/2089;3967;72;1.12;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOHERBA-ЧАЙ ФИЛТЪР-20БР-СЕНА/4168;3972;72;1.12;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOHERBA-ЧАЙ ФИЛТЪР-20БР-СТЕВИЯ/2591;3950;72;3.06;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOHERBA-ЧАЙ ФИЛТЪР-20БР-СТОМАШЕН/2065;3975;72;1.12;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOHERBA-ЧАЙ ФИЛТЪР-20БР-УСПОКОИТЕЛЕН/2010;3977;72;1.12;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOSET-ЧАЙ-20БР*1.5ГР/2ГР-БИЛКОВ-СТРОЙНА ЛИНИЯ/4016;103989;72;1.32;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOSET-ЧАЙ-20БР*1.5ГР-БИЛКОВ-БОДРО УТРО/4006;103988;72;1.16;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOSET-ЧАЙ-20БР*1.5ГР-БИЛКОВ-ВЪЛШЕБНО УХАНИЕ/4007;103980;72;1.17;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOSET-ЧАЙ-20БР*1.5ГР-БИЛКОВ-ГОРСКИ ДАР/4008;103987;72;1.31;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOSET-ЧАЙ-20БР*1.5ГР-БИЛКОВ-ГРАДИНСКИ БУКЕТ/4009;103982;72;1.17;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOSET-ЧАЙ-20БР*1.5ГР-БИЛКОВ-КАРКАДЕ/4010;103990;72;1.17;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOSET-ЧАЙ-20БР*1.5ГР-БИЛКОВ-ЛАЙКА/4011;103983;72;1.17;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOSET-ЧАЙ-20БР*1.5ГР-БИЛКОВ-МАТОЧИНА/4012;103986;72;1.17;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOSET-ЧАЙ-20БР*1.5ГР-БИЛКОВ-МАЩЕРКА/4013;103981;72;1.17;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOSET-ЧАЙ-20БР*1.5ГР-БИЛКОВ-МЕНТА/4014;103984;72;1.17;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOSET-ЧАЙ-20БР*1.5ГР-БИЛКОВ-ПЛАНИНСКА ПЕСЕН/4015;103985;72;1.17;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOSET-ЧАЙ-20БР*1.5ГР-БИЛКОВ-ШИПКА/4017;59996;72;1.17;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOSET-ЧАЙ-20БР*2ГР-ГОРСКИ ПЛОДОВЕ;51122;72;1.17;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOSET-ЧАЙ-20БР*2ГР-ГРАДИНСКИ ПЛОДОВЕ/4106;51126;72;1.17;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOSET-ЧАЙ-20БР*2ГР-ДИВА ЯГОДА И АРОНИЯ/4107;51128;72;1.17;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOSET-ЧАЙ-20БР*2ГР-ЗЕЛЕН/ЛИМОН/ОРИГИНАЛ/26961;51130;72;1.17;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOSET-ЧАЙ-20БР*2ГР-ЗЕЛЕН/МАЛИНА;102864;72;1.17;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOSET-ЧАЙ-20БР*2ГР-ЗЕЛЕН/МЕНТА/4038;51131;72;1.17;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOSET-ЧАЙ-20БР*2ГР-ЗЕЛЕН/ОПУНЦИЯ;106433;72;1.17;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOSET-ЧАЙ-20БР*2ГР-КРУША И МАЛИНА/4109;51124;72;1.17;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOSET-ЧАЙ-20БР*2ГР-МАЛИНА И КЪПИНА/4110;51123;72;1.17;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOSET-ЧАЙ-20БР*2ГР-ЧЕРЕН-КЛАСИК;46945;72;1.17;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;BIOSET-ЧАЙ-20БР*2ГР-ШИПКА И ЗЕЛЕНА ЯБЪЛКА;51127;72;1.17;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;LOYD-ЧАЙ-12БР*2,5ГР-СТУДЕН-ЛИМОН,ЛАЙМ И МЕНТА/9011;1920;72;2.14;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;LOYD-ЧАЙ-12БР*2,5ГР-СТУДЕН-ЯБЪЛКА И АНАНС/9017;1913;72;2.14;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;LOYD-ЧАЙ-12БР*2,5ГР-СТУДЕН-ЯГОДА И МАЛИНА/9007;1921;72;2.14;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;LOYD-ЧАЙ-20БР*1,4ГР-ПИРАМИДА-ЛАЙКА/20;500856;72;2.14;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;LOYD-ЧАЙ-20БР*1,5ГР-ПИРАМИДА-ЗЕЛЕН С ДЖОДЖЕН И МЕТЛИЧИНА/20;500854;72;2.14;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;LOYD-ЧАЙ-20БР*1,5ГР-ПИРАМИДА-ЗЕЛЕН С ЛИМОН И ЛИМОНОВА ТРЕВА/5411;500853;72;2.14;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;LOYD-ЧАЙ-20БР*1,5ГР-ПИРАМИДА-ЛИПА, МЕД И ЛИМОН/20;500857;72;2.14;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;LOYD-ЧАЙ-20БР*1,7ГР-БИО ЗЕЛЕН-МАНУКА МЕД/9939;1900;72;2.14;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;LOYD-ЧАЙ-20БР*1,7ГР-БИО ЗЕЛЕН-МАТЧА/9959;1896;72;2.14;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;LOYD-ЧАЙ-20БР*1,7ГР-ГРИЙН СЕНС-ЛИМОН, ЛАЙМ И ДЖИНДЖИФИЛ;500875;72;2.14;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;LOYD-ЧАЙ-20БР*1,7ГР-ГРИЙН СЕНС-ЦИТРУСОВИ ПЛОДОВЕ И НАР/8*;500860;72;2.14;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;LOYD-ЧАЙ-20БР*1,7ГР-ГРИЙН СЕНС-ЧИСТ/8;500861;72;2.14;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;LOYD-ЧАЙ-20БР*1,7ГР-ПИРАМИДА-ДЕТОКС ВСЕКИ ДЕН/5921;1927;72;2.35;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;LOYD-ЧАЙ-20БР*1,7ГР-ПИРАМИДА-МЕНТА & ЛИМОНОВА ТРЕВА, ЛИМОН/5651;32768;72;2.35;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;LOYD-ЧАЙ-20БР*1,7ГР-ПИРАМИДА-ЧЕРЕН-ЛИМОН/5111;31419;72;2.35;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;LOYD-ЧАЙ-20БР*1,7ГР-СЕНС-КОПРИВА И МАНГО/6594;1935;72;2.14;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;LOYD-ЧАЙ-20БР*1.5ГР-ДАБЪЛ-ЗЕЛЕН/7400;24060;72;2.14;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;LOYD-ЧАЙ-20БР*1.75ГР-ДАБЪЛ-ЪРЛ ГРЕЙ/7200;24053;72;2.14;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;LOYD-ЧАЙ-20БР*1.7ГР-ПИРАМИДА-ЗЕЛЕН-МЕНТА И МАНУКА/5654;22608;72;2.35;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;LOYD-ЧАЙ-20БР*2ГР-БЛЯК СЕНС-ЧИСТ/8;500873;72;1.53;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;LOYD-ЧАЙ-20БР*2ГР-ДАБЪЛ-ГОРСКИ ПЛОД/7110;24139;72;1.46;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;LOYD-ЧАЙ-20БР*2ГР-ДАБЪЛ-ЧЕРЕН КЛАСИК/7100;500850;72;2.14;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;LOYD-ЧАЙ-20БР*2ГР-ПИРАМИДА-ГОРСКИ ПЛОДОВЕ/5010;500858;72;2.5;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;LOYD-ЧАЙ-20БР*2ГР-ПИРАМИДА-ГЪРЛО-УСПОКОЯВАНЕ/5993;24398;72;2.5;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;LOYD-ЧАЙ-20БР*2ГР-ПИРАМИДА-ЕКО ЛАЙН МАНУКА МЕД/5539;1906;72;2.5;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;LOYD-ЧАЙ-20БР*2ГР-ПИРАМИДА-ЕКО ЛАЙН ЧЕРЕША И ЛИПА/5503;1905;72;2.5;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;LOYD-ЧАЙ-20БР*2ГР-ПИРАМИДА-ИМУНИТЕТ-ЗАСИЛВАНЕ/5971;1930;72;2.5;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;LOYD-ЧАЙ-20БР*2ГР-ПИРАМИДА-ЧЕРВ.БОРОВИНКИ,ДЖИНДЖИФИЛ/5018;500874;72;2.5;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;LOYD-ЧАЙ-20БР*2ГР-ПИРАМИДА-ЧЕРВЕНА БОРОВИНКА И ДЖИНДЖИФИЛ/20;500855;72;2.5;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;LOYD-ЧАЙ-20БР*2ГР-ПИРАМИДА-ЧЕРЕН ЪРЛ ГРЕЙ/10;500851;72;2.5;
10135;ЕЛИТИС МЕГАСТОР  ул. НИКОЛА СИМОВ 3;LOYD-ЧАЙ-20БР*2ГР-РОЙБОС СЕНС-МЕД И ВАНИЛИЯ МАДАГАСКАР/6339;500869;72;2.93;
