"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"10135","Делта Планет Мол, бул. Сливница 185","ПРЯСНО МЛЯКО 2.5% 1л МУ","18444","6","2.04",""
"10135","Делта Планет Мол, бул. Сливница 185","КРЕНВИРШИ ДОКТОРСКИЕ ЕКСТРА РК","25019","26","9.66",""
"10135","Делта Планет Мол, бул. Сливница 185","КОЛБАС ДОКТОРСКАЯ ОТ ГОВЕЖДО 450гр РК","25025","27","5.06",""
"10135","Делта Планет Мол, бул. Сливница 185","КОЛБАС СУРОВОВЕЯН БАНКЕТЕН 250гр САЛТ","26001","28","5.90",""
"10135","Делта Планет Мол, бул. Сливница 185","ДОМАТИ ЧЕРИ МАРИНОВАНИ 450гр Н","41115","48","3.02",""
"10135","Делта Планет Мол, бул. Сливница 185","ГРАХ 400гр БЕРЕЗКА","41652","47","1.48",""
"10135","Делта Планет Мол, бул. Сливница 185","ЗЕХТИН ЕКСТРА ВЪРДЖИН 1л BIOILIS","41751","43","15.29","9.90"
"10135","Делта Планет Мол, бул. Сливница 185","СОЛ 1кг","57201","39","2.04",""
"10135","Делта Планет Мол, бул. Сливница 185","СПАГЕТИ ЕРКОЛИ 500гр МЛ","72103","37","2.51",""
"10135","Делта Планет Мол, бул. Сливница 185","ШАМПОАН GOLDEN HORSE 400мл","105307","82","12.73",""
"10135","Делта Планет Мол, бул. Сливница 185","ЧЕТКА ЗА ЗЪБИ 32 ПЕРЛИ МУЛТИ ЕКШЪН ММ","105620","80","1.28",""
"10135","Делта Планет Мол, бул. Сливница 185","ЦИГАРИ КАРЕЛИЯ 100 БЯЛА","300036","78","2.56",""
"10135","Делта Планет Мол, бул. Сливница 185","ДЪНХИЛЛ БЛЕК 100/20","310124","75","3.17",""
"10135","Делта Планет Мол, бул. Сливница 185","МИНЕРАЛНА ВОДА ДЕВИН 1.5л","702432","73","0.77",""
"10135","Делта Планет Мол, бул. Сливница 185","ОЛИО КАЛИАКРА 1л","703014","42","2.51",""
"10135","Делта Планет Мол, бул. Сливница 185","ЧАЙ ЛАЙКА 40гр РОДОПСКО БИЛЕ","705153","72","1.64",""
"10135","Делта Планет Мол, бул. Сливница 185","БРАШНО 1кг СОФИЯ МЕЛ","705221","40","1.23",""
"10135","Делта Планет Мол, бул. Сливница 185","ЗАХАР СЛАДЕЯ 1кг","705223","38","1.48",""
"10135","Делта Планет Мол, бул. Сливница 185","ЯЙЦА КОКОШИ L ПОДОВО ОТГЛЕЖДАНИ 10бр АНГЕЛОВ","708211","32","3.90",""
"10135","Делта Планет Мол, бул. Сливница 185","МОКРИ КЪРПИ EVENT АЛОЕ 15бр","751318","84","0.66",""
"10135","Делта Планет Мол, бул. Сливница 185","КИСЕЛО МЛЯКО 3.6% 400ГР АЛФАТАР","780751","7","0.77",""
"10135","МОЛ ВАРНА, ниво -1","ШОКОЛАД ЛЮБИМАЯ АЛЕНКА МЛЕЧЕН 100гр К","1163","69","3.02",""
"10135","МОЛ ВАРНА, ниво -1","СИРЕНЕ ГРЪЦКО 250гр ТП","17188","9","3.06",""
"10135","МОЛ ВАРНА, ниво -1","КАШКАВАЛ СМЕТАНОВ 48% Р","18304","10","14.27",""
"10135","МОЛ ВАРНА, ниво -1","МАСЛО ОТ ПРЯСНА СМЕТАНА SVALIA 82% 200 ГР/30","18403","12","3.57",""
"10135","МОЛ ВАРНА, ниво -1","ТВОРОГ НИСКОМАСЛЕН 200гр СВАЛЯ","18405","14","2.35","1.88"
"10135","МОЛ ВАРНА, ниво -1","КАШКАВАЛ КЛАССИЧЕСКИЙ 50% 250гр","18429","11","4.35",""
"10135","МОЛ ВАРНА, ниво -1","ПРЯСНО МЛЯКО 2.5% 1л МУ","18444","6","2.04",""
"10135","МОЛ ВАРНА, ниво -1","КРЕНВИРШИ ДОКТОРСКИЕ ЕКСТРА РК","25019","26","9.66",""
"10135","МОЛ ВАРНА, ниво -1","КОЛБАС ДОКТОРСКАЯ ОТ ГОВЕЖДО 450гр РК","25025","27","5.06",""
"10135","МОЛ ВАРНА, ниво -1","КОЛБАС СУРОВОВЕЯН БАНКЕТЕН 250гр САЛТ","26001","28","5.90",""
"10135","МОЛ ВАРНА, ниво -1","ДОМАТИ ЧЕРИ МАРИНОВАНИ 450гр Н","41115","48","3.02",""
"10135","МОЛ ВАРНА, ниво -1","ГРАХ 400гр БЕРЕЗКА","41652","47","1.48",""
"10135","МОЛ ВАРНА, ниво -1","ЗЕХТИН ЕКСТРА ВЪРДЖИН 1л BIOILIS","41751","43","15.29","9.90"
"10135","МОЛ ВАРНА, ниво -1","СОЛ 1кг","57201","39","2.04",""
"10135","МОЛ ВАРНА, ниво -1","СПАГЕТИ ЕРКОЛИ 500гр МЛ","72103","37","2.51",""
"10135","МОЛ ВАРНА, ниво -1","ШАМПОАН GOLDEN HORSE 400мл","105307","82","12.73",""
"10135","МОЛ ВАРНА, ниво -1","ЧЕТКА ЗА ЗЪБИ 32 ПЕРЛИ МУЛТИ ЕКШЪН ММ","105620","80","1.28",""
"10135","МОЛ ВАРНА, ниво -1","ЦИГАРИ КАРЕЛИЯ 100 БЯЛА","300036","78","2.56",""
"10135","МОЛ ВАРНА, ниво -1","ДЪНХИЛЛ БЛЕК 100/20","310124","75","3.63",""
"10135","МОЛ ВАРНА, ниво -1","МИНЕРАЛНА ВОДА ДЕВИН 1.5л","702432","73","1.02",""
"10135","МОЛ ВАРНА, ниво -1","ОЛИО КАЛИАКРА 1л","703014","42","2.51",""
"10135","МОЛ ВАРНА, ниво -1","ЧАЙ ЛАЙКА 40гр РОДОПСКО БИЛЕ","705153","72","1.64",""
"10135","МОЛ ВАРНА, ниво -1","БРАШНО 1кг СОФИЯ МЕЛ","705221","40","1.23",""
"10135","МОЛ ВАРНА, ниво -1","ЗАХАР СЛАДЕЯ 1кг","705223","38","1.48",""
"10135","МОЛ ВАРНА, ниво -1","ЯЙЦА КОКОШИ L ПОДОВО ОТГЛЕЖДАНИ 10бр АНГЕЛОВ","708211","32","3.90",""
"10135","МОЛ ВАРНА, ниво -1","МОКРИ КЪРПИ EVENT АЛОЕ 15бр","751318","84","0.66",""
"10135","МОЛ ВАРНА, ниво -1","КИСЕЛО МЛЯКО 3.6% 400ГР АЛФАТАР","780751","7","0.77",""
"10135","Козирката, пл. Св св Кирил и Методий","ШОКОЛАД ЛЮБИМАЯ АЛЕНКА МЛЕЧЕН 100гр К","1163","69","3.02",""
"10135","Козирката, пл. Св св Кирил и Методий","СИРЕНЕ ГРЪЦКО 250гр ТП","17188","9","3.06",""
"10135","Козирката, пл. Св св Кирил и Методий","КАШКАВАЛ СМЕТАНОВ 48% Р","18304","10","14.27",""
"10135","Козирката, пл. Св св Кирил и Методий","МАСЛО ОТ ПРЯСНА СМЕТАНА SVALIA 82% 200 ГР/30","18403","12","3.57",""
"10135","Козирката, пл. Св св Кирил и Методий","ТВОРОГ НИСКОМАСЛЕН 200гр СВАЛЯ","18405","14","2.35",""
